# severity	kind	type	member	arity	requires
# "bare" models Type.GetMethod(name, flags): adding an overload is a breaking ambiguity.
# Optional rules correspond to explicit null/skip/log fallback paths; they are reported but do not fail.
optional	il-call	MegaCrit.Sts2.Core.Saves.Managers.ProgressSaveManager	LoadProgress	0	MegaCrit.Sts2.Core.Saves.ProgressState::CreateDefault
optional	method	MegaCrit.Sts2.Core.Nodes.NBackgroundModeHandler	EnterBackgroundMode	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.NBackgroundModeHandler	ExitBackgroundMode	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.NRewardsScreen	AfterOverlayClosed	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Rooms.NCombatRoom	SetUpBackground	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Rooms.NCombatRoom	_Ready	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.CommonUi.NInputManager	OnControllerTypeChanged	bare	-
optional	field	MegaCrit.Sts2.Core.Nodes.CommonUi.NInputManager	_controllerInputMap	-	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NEarlyAccessDisclaimer	_Ready	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Events.NEventLayout	_Ready	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Events.NEventLayout	AddOptions	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Shops.NMerchantInventory	DoOpenAnimation	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NMainMenu	_Ready	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NMainMenu	OnWindowChange	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NVSyncPaginator	GetVSyncString	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NResolutionDropdown	RefreshEnabled	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NResolutionDropdown	PopulateDropdownItems	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NResolutionDropdown	RefreshCurrentlySelectedResolution	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NResolutionDropdown	OnDropdownItemSelected	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NResolutionDropdownItem	Init	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.Settings.NSettingsScreen	LocalizeLabels	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.CommonUi.NGlobalUi	OnWindowChange	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Combat.NMouseCardPlay	_Input	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.CommonUi.NInputManager	_UnhandledKeyInput	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.CommonUi.NHotkeyManager	_UnhandledInput	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NJoinFriendScreen	_Ready	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NJoinFriendScreen	OnSubmenuOpened	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NJoinFriendScreen	OnSubmenuClosed	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NJoinFriendScreen	JoinGameAsync	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.Screens.MainMenu.NJoinFriendButton	Create	bare	-
optional	method	MegaCrit.Sts2.Core.Multiplayer.NetHostGameService	StartENetHost	bare	-
optional	method	MegaCrit.Sts2.Core.Multiplayer.NetHostGameService	Disconnect	bare	-
optional	method	MegaCrit.Sts2.Core.Platform.Null.NullPlatformUtilStrategy	GetPlayerName	bare	-
optional	method	MegaCrit.Sts2.Core.Localization.LocString	.ctor	2	-
optional	method	MegaCrit.Sts2.Core.Localization.LocString	GetFormattedText	0	-
